file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uuf50-0350.cnf,183,1387,28,183,0.088092,0.087855,0.000582,UNSAT
uuf50-0351.cnf,223,1401,37,223,0.094323,0.094121,0.000582,UNSAT
uuf50-0352.cnf,63,355,6,63,0.036697,0.036528,0.000527,UNSAT
uuf50-0353.cnf,171,1306,9,171,0.087719,0.087962,0.000922,UNSAT
uuf50-0354.cnf,123,911,19,123,0.064231,0.063869,0.000695,UNSAT
uuf50-0355.cnf,133,967,14,133,0.06894,0.068919,0.000682,UNSAT
uuf50-0356.cnf,125,852,20,125,0.061681,0.061529,0.000525,UNSAT
uuf50-0357.cnf,179,1139,14,179,0.09431,0.093153,0.003982,UNSAT
uuf50-0358.cnf,85,686,10,85,0.048608,0.046313,0.005943,UNSAT
uuf50-0359.cnf,121,781,8,121,0.065091,0.061882,0.008566,UNSAT
uuf50-036.cnf,77,457,11,77,0.04138,0.039628,0.004107,UNSAT
uuf50-0360.cnf,87,522,3,87,0.047412,0.046646,0.002209,UNSAT
uuf50-0361.cnf,53,438,1,53,0.03363,0.033467,0.000464,UNSAT
uuf50-0362.cnf,255,1719,45,255,0.111583,0.110359,0.004018,UNSAT
uuf50-0363.cnf,135,982,6,135,0.07141,0.070987,0.001068,UNSAT
uuf50-0364.cnf,129,1019,3,129,0.066843,0.066061,0.002527,UNSAT
uuf50-0365.cnf,97,793,9,97,0.053352,0.052419,0.002683,UNSAT
uuf50-0366.cnf,93,663,13,93,0.047232,0.047138,0.000489,UNSAT
uuf50-0367.cnf,111,827,10,111,0.060523,0.060308,0.00057,UNSAT
uuf50-0368.cnf,71,517,6,71,0.039197,0.039081,0.000426,UNSAT
uuf50-0369.cnf,117,724,9,117,0.057261,0.057081,0.000544,UNSAT
uuf50-037.cnf,131,934,18,131,0.058397,0.058193,0.000563,UNSAT
uuf50-0370.cnf,99,665,12,99,0.052365,0.052172,0.000538,UNSAT
uuf50-0371.cnf,125,987,14,125,0.066035,0.065869,0.000482,UNSAT
uuf50-0372.cnf,83,516,3,83,0.047409,0.047185,0.000565,UNSAT
uuf50-0373.cnf,63,522,1,63,0.038063,0.037009,0.004409,UNSAT
uuf50-0374.cnf,85,592,3,85,0.048544,0.048419,0.000491,UNSAT
uuf50-0375.cnf,139,936,5,139,0.067871,0.067286,0.001399,UNSAT
uuf50-0376.cnf,87,739,4,87,0.050223,0.050085,0.000465,UNSAT
uuf50-0377.cnf,131,1140,19,131,0.069498,0.068979,0.001786,UNSAT
uuf50-0378.cnf,109,741,3,109,0.055706,0.05551,0.000533,UNSAT
uuf50-0379.cnf,77,580,4,77,0.043245,0.043116,0.000455,UNSAT
uuf50-038.cnf,61,401,4,61,0.032424,0.032303,0.00045,UNSAT
uuf50-0380.cnf,125,927,17,125,0.064159,0.063984,0.000515,UNSAT
uuf50-0381.cnf,161,1101,6,161,0.080253,0.080024,0.000613,UNSAT
uuf50-0382.cnf,157,1084,7,157,0.080204,0.079916,0.000587,UNSAT
uuf50-0383.cnf,101,653,7,101,0.052349,0.052218,0.000466,UNSAT
uuf50-0384.cnf,93,651,9,93,0.049248,0.048633,0.001571,UNSAT
uuf50-0385.cnf,111,825,6,111,0.062699,0.060701,0.005184,UNSAT
uuf50-0386.cnf,203,1441,20,203,0.097579,0.097225,0.000657,UNSAT
uuf50-0387.cnf,67,531,2,67,0.038169,0.037447,0.002106,UNSAT
uuf50-0388.cnf,73,510,11,73,0.039356,0.038463,0.003379,UNSAT
uuf50-0389.cnf,79,613,8,79,0.044772,0.044651,0.000505,UNSAT
uuf50-039.cnf,131,888,20,131,0.066556,0.066421,0.000575,UNSAT
uuf50-0390.cnf,65,467,7,65,0.034564,0.034422,0.000492,UNSAT
uuf50-0391.cnf,157,1087,1,157,0.080998,0.080851,0.000533,UNSAT
uuf50-0392.cnf,55,432,9,55,0.032263,0.031897,0.001403,UNSAT
