file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uf50-0369.cnf,60,426,5,52,0.034783,0.034645,0.000475,SAT
uf50-037.cnf,136,890,32,128,0.0644,0.064183,0.000582,SAT
uf50-0370.cnf,21,145,10,13,0.010762,0.010767,3e-05,SAT
uf50-0371.cnf,45,240,19,37,0.02092,0.020836,0.000332,SAT
uf50-0372.cnf,130,840,22,117,0.063538,0.063317,0.000612,SAT
uf50-0373.cnf,21,180,7,16,0.011964,0.011904,0.000305,SAT
uf50-0374.cnf,81,582,18,69,0.042274,0.042143,0.00045,SAT
uf50-0375.cnf,55,442,8,46,0.028217,0.028141,0.000313,SAT
uf50-0376.cnf,15,58,3,3,0.008391,0.008311,0.000333,SAT
uf50-0377.cnf,92,617,17,82,0.047148,0.047009,0.000432,SAT
uf50-0378.cnf,27,205,9,19,0.017873,0.017814,0.000327,SAT
uf50-0379.cnf,63,369,8,52,0.031647,0.031487,0.000479,SAT
uf50-038.cnf,20,103,8,8,0.009812,0.009804,3.4e-05,SAT
uf50-0380.cnf,12,63,3,5,0.006273,0.006269,2e-05,SAT
uf50-0381.cnf,100,764,9,91,0.05293,0.052721,0.000536,SAT
uf50-0382.cnf,42,309,2,32,0.02007,0.02007,6.4e-05,SAT
uf50-0383.cnf,42,307,10,32,0.021455,0.021382,0.000349,SAT
uf50-0384.cnf,144,1036,24,134,0.07038,0.070123,0.000626,SAT
uf50-0385.cnf,16,72,13,4,0.007115,0.007111,3.4e-05,SAT
uf50-0386.cnf,92,604,20,82,0.043113,0.042981,0.000466,SAT
uf50-0387.cnf,8,74,6,3,0.005915,0.005915,3.1e-05,SAT
uf50-0388.cnf,16,73,18,6,0.007727,0.007718,4.9e-05,SAT
uf50-0389.cnf,122,855,11,112,0.065594,0.065317,0.000606,SAT
uf50-039.cnf,19,167,6,10,0.010747,0.010764,4.3e-05,SAT
uf50-0390.cnf,52,386,9,41,0.025511,0.025443,0.000355,SAT
uf50-0391.cnf,95,610,14,88,0.04832,0.047871,0.001532,SAT
uf50-0392.cnf,69,589,11,60,0.037282,0.03721,0.000362,SAT
uf50-0393.cnf,106,861,10,95,0.0559,0.055718,0.000504,SAT
uf50-0394.cnf,54,346,10,45,0.024807,0.024736,0.00037,SAT
uf50-0395.cnf,117,666,28,104,0.047486,0.047347,0.000419,SAT
uf50-0396.cnf,17,94,4,7,0.009511,0.009437,0.000329,SAT
uf50-0397.cnf,78,463,7,68,0.033886,0.033762,0.000527,SAT
uf50-0398.cnf,62,477,5,55,0.036665,0.036516,0.000473,SAT
uf50-0399.cnf,22,146,6,11,0.012272,0.012288,5.4e-05,SAT
uf50-04.cnf,48,346,6,38,0.027144,0.027063,0.000336,SAT
uf50-040.cnf,34,195,11,24,0.017275,0.017211,0.000335,SAT
uf50-0400.cnf,36,192,12,22,0.01389,0.013815,0.000329,SAT
uf50-0401.cnf,71,559,15,60,0.039096,0.038963,0.000452,SAT
uf50-0402.cnf,79,551,11,67,0.034261,0.034192,0.000325,SAT
uf50-0403.cnf,51,361,17,43,0.024542,0.024446,0.000355,SAT
uf50-0404.cnf,18,75,14,8,0.006681,0.006598,0.000336,SAT
uf50-0405.cnf,133,894,14,121,0.067231,0.067045,0.000573,SAT
uf50-0406.cnf,73,431,17,63,0.033234,0.033153,0.000317,SAT
uf50-0407.cnf,43,270,10,34,0.02397,0.023839,0.000448,SAT
uf50-0408.cnf,80,551,17,72,0.042554,0.042389,0.000432,SAT
uf50-0409.cnf,8,35,7,0,0.005006,0.004997,3.1e-05,SAT
uf50-041.cnf,32,219,10,20,0.016298,0.016218,0.000348,SAT
uf50-0410.cnf,175,1153,15,163,0.081103,0.080859,0.000619,SAT
uf50-0411.cnf,67,416,12,55,0.027803,0.027722,0.000332,SAT
uf50-0412.cnf,112,640,22,104,0.048736,0.048602,0.000441,SAT
uf50-0413.cnf,30,214,12,23,0.016786,0.016712,0.000318,SAT
uf50-0414.cnf,14,72,8,4,0.006295,0.006302,3.1e-05,SAT
uf50-0415.cnf,63,371,21,54,0.031229,0.031085,0.000453,SAT
uf50-0416.cnf,22,137,12,13,0.009372,0.009369,4.3e-05,SAT
uf50-0417.cnf,20,133,2,11,0.012623,0.012613,4.9e-05,SAT
uf50-0418.cnf,76,556,11,71,0.040716,0.04019,0.001233,SAT
uf50-0419.cnf,126,794,23,118,0.05767,0.05747,0.00055,SAT
uf50-042.cnf,101,767,5,90,0.053974,0.053828,0.000447,SAT
uf50-0420.cnf,59,468,11,53,0.032452,0.032272,0.000596,SAT
uf50-0421.cnf,80,519,13,70,0.045548,0.045375,0.000465,SAT
uf50-0422.cnf,12,60,8,2,0.00685,0.006834,4.7e-05,SAT
uf50-0423.cnf,12,110,7,5,0.008391,0.008383,5.6e-05,SAT
uf50-0424.cnf,26,167,15,16,0.011886,0.011809,0.000305,SAT
uf50-0425.cnf,40,266,13,28,0.020706,0.02054,0.000463,SAT
uf50-0426.cnf,6,39,5,0,0.005275,0.004435,0.00143,SAT
uf50-0427.cnf,184,1207,28,177,0.092915,0.092609,0.000738,SAT
uf50-0428.cnf,10,39,5,1,0.006365,0.006285,0.000333,SAT
uf50-0429.cnf,181,1287,16,170,0.09284,0.092535,0.000633,SAT
uf50-043.cnf,59,431,10,49,0.026492,0.0264,0.000409,SAT
uf50-0430.cnf,51,364,0,46,0.028631,0.028434,0.000607,SAT
uf50-0431.cnf,19,102,9,6,0.009914,0.009902,9.3e-05,SAT
uf50-0432.cnf,36,227,6,29,0.019216,0.019097,0.000391,SAT
